Tweet_ID,Author_ID,Created_At,Cleaned_Tweet
1875966997160177715,1719601729912668160,2025-01-05 18:06:00+00:00,ev elektroniğinde teknoloji sınıra dayandı dokunmatik ekranlı tvler işe yaramayacak nedenle insanların teknoloji buluşmasını sağlayacak yeni alanlar icat etmeleri gerekiyor
1875966950809243689,1695894590731997184,2025-01-05 18:05:49+00:00,teknoloji acayip bisey oldu
1875966829933596924,1826977982163947520,2025-01-05 18:05:20+00:00,ai tabanlı yeni bir yalan dedektörü mikro yüz hareketlerini ses tonundaki değişiklikleri analiz ederek yüzde doğruluk oranına ulaştı teknoloji hukuk sisteminde yalan tespiti etik tartışmaları beraberinde getirdi
1875966696894374092,1318209107829063682,2025-01-05 18:04:48+00:00,fikirler hazırsa başlıyoruz teknoloji yarışmaları başvurular başladi ana kategori alt kategori son başvuru şubat detaylı bilgi
1875966423522312311,1687814851807113216,2025-01-05 18:03:43+00:00,bizdeki teknoloji
1875966179485057237,1826977982163947520,2025-01-05 18:02:45+00:00,beyin aktivitelerini analiz ederek rüyaları anlamlandıran bir yapay zeka sistemi geliştirildi beyin taramaları ai algoritmaları kullanılarak bir kişinin rüyasında gördüğü nesneler olaylar görselleştirildi teknoloji bilinçaltını anlamada büyük bir adım olabilir
1875965823103426783,1838564767520428036,2025-01-05 18:01:20+00:00,azalma derken milyar kişiden milyona inse bile yaptığı sanayi teknoloji yatırımları sayesinde süper güç olmaya devam eder
1875965637270639072,1366340990265655298,2025-01-05 18:00:36+00:00,harrison fordun sahnelerde gençleştirilmesi genel olarak başarılı belirli sahnelerde sırıttı özellikle şapkalı olduğu yerlerde oyun karakteri gibiydi mimikleri yüzü kadar kullanılan bir teknoloji olmasına rağmen yolu var
1875965575324967001,1826977982163947520,2025-01-05 18:00:21+00:00,meta google yapay zeka modellerine sadece ses kaydıyla yeni bir dili öğrenmeyi öğrettiler teknoloji örneğin avustralya aborjin dilleri yok olmaya yüz tutmuş dillerin korunmasını sağlayabilir
1875965558837174709,1658512938364284930,2025-01-05 18:00:17+00:00,fazla onlar teknoloji yenilikler branşlasmayla durumu kapatıyorlar inşallah günün birinde hastaya hemşire oranına yükseliriz an tam tersi
1875965330939343170,1830493511331774464,2025-01-05 17:59:23+00:00,vestel şarj i̇stasyonlarında yeni bir dönem plugampcharge çalışıyor vestel mobilite elektrikli araç şarj deneyimini kolaylaştıran plugampcharge özelliğini tanıttı kart
1875965150152519858,91962084,2025-01-05 17:58:40+00:00,aşı falan değil kapitalizmin geldiği son nokta budur gıda sağlıksız hava sağlıksız teknoloji zararlı hava kirli şehirler stres yüklü sadece aşıyı görmek istemişsiniz
1875965026168954971,1467330345984999424,2025-01-05 17:58:10+00:00,hayırdır olum bunlarla teknoloji falan paylaşmayın
1875964603055870402,1761389994940198912,2025-01-05 17:56:29+00:00,apple genel olarak son yıldır androidin gerisinde kaldı takip ettiğim birçok teknoloji editörü androide geçiş yaptı geneli s ultraya geçti yapay zeka olarak işlemci olarakda geride kaldı istersen bir düşün samsung uzun yıllar güncelleme garantisi veriyor
1875964247328567392,1635561155857981441,2025-01-05 17:55:04+00:00,liyakat demez misiniz bir tarafta doktoralı kıdemli başarılı bir devlet adamı diğer tarafta laz müteahhit var bir tarfta itü mit mezunu dev bir teknoloji şirketi kuran selçuk diğer tarafta kıbrıstan dümenle yatay geçiş yapıp i̇üni bitiren ekrem var
1875964082236645654,1600201449429925898,2025-01-05 17:54:25+00:00,teknoloji devi samsung sandığımız kadar masum değil teknoloji aletlerinin yanı sıra savaş araçları üretmektedir
1875963889772630178,1600201449429925898,2025-01-05 17:53:39+00:00,teknoloji devi samsung sandığımız kadar masum değil teknoloji aletlerinin yanı sıra savaş araçları üretmektedir
1875963855643594794,1695894590731997184,2025-01-05 17:53:31+00:00,teknoloji ilerledi
1875963770104905740,1725080516074840064,2025-01-05 17:53:11+00:00,uçuşlarda starlink dönemi yüksek hızlı internet testleri başlıyor
1875963539904737682,561377186,2025-01-05 17:52:16+00:00,fransadaki louvre perudaki machu picchu gizadaki büyük piramit kamboçyadaki angkor wat yapıların düzeyde teknoloji inşa edildiği varsayılıyor yüzlerce ton ağırlığındaki taşları baş döndürücü yüksekliklere kaldırırken mükemmel simetri imknsız derecede
1875963537530691731,1825013273659387904,2025-01-05 17:52:15+00:00,dünya değişti mevsimler değişti teknoloji değiştiyıllar değişti sayılı kanunu değişmedi
1875963342264869088,1310675187105497089,2025-01-05 17:51:29+00:00,hocam göremedik agi dediğimiz şuanki tıbbı modern fiziği değiştirebilecek yeteneğe sahip insan zekasında bi botun bütün bilgilere unutmadan erişebilmesini üstünde analiz yapmasını sağlayıp yeni atılımlar yapmasını sağlayacak bir teknoloji henüz yok
1875963131639525619,920590863612362752,2025-01-05 17:50:38+00:00,abdli teknoloji savunma şirketi zenatech türkiyede i̇ha üretmek fabrika kurmaya hazırlanıyor
1875963005370073289,1858906694249484288,2025-01-05 17:50:08+00:00,fenerbahçe hatayspor başarılar dileriz aptera güneş enerjili elektrikli araçlarını sergileyecek devami
1875962949455753300,1862487740966707200,2025-01-05 17:49:55+00:00,dünya değişti mevsimler değişti teknoloji değiştiyıllar değişti sayılı kanunu değişmedi sayın devlet büyüklerimiz çağa uygun kanun istiyoruz mesleki güvence istiyoruz e
1875962905214267617,1862487740966707200,2025-01-05 17:49:44+00:00,dünya değişti mevsimler değişti teknoloji değiştiyıllar değişti sayılı kanunu değişmedi sayın devlet büyüklerimiz çağa uygun kanun istiyoruz mesleki güvence istiyoruz c
1875962881147388056,1862487740966707200,2025-01-05 17:49:39+00:00,dünya değişti mevsimler değişti teknoloji değiştiyıllar değişti sayılı kanunu değişmedi sayın devlet büyüklerimiz çağa uygun kanun istiyoruz mesleki güvence istiyoruz
1875962817968579003,1872190059232845824,2025-01-05 17:49:24+00:00,ileri teknoloji irozlu bztrebilme
1875962782044287193,795694531492671491,2025-01-05 17:49:15+00:00,ilk nede sondakika uzaylilar yakut yeşili lazer işınlı yumurtalar şeklinde sıçıyorlarmış onlardan enerji teknoloji üretilecek ajans
1875962597771784678,1652395925338218496,2025-01-05 17:48:31+00:00,nvidia rtx ces te tanıtılmadan önce özellikleriyle ortaya çıktı
1875962576926110070,1577774777196052480,2025-01-05 17:48:26+00:00,ürünü geliştirirken kullandığınız teknoloji nedir adobe after effect
1875962526464082297,227975513,2025-01-05 17:48:14+00:00,şöyle bir şirket hayal ediyorum büyük olmayacak piyasa değeri m altı olsun önünde kat kat büyüme imkanları olsun ölmez bir sektörde olsun yüksek teknoloji olmasa olur ilerde çin falan pazarı işgal edip boğmasın çevre ülkelerde iş yapma yayılma
1875962504637280551,336648473,2025-01-05 17:48:09+00:00,bilim teknoloji çağında kimya öğretmenleri mağduryıllardır atanamıyoruz haneli rakamlar bizde görmek istiyoruz
1875962357555319002,1645356448275210240,2025-01-05 17:47:34+00:00,abd guamın kritik altyapısını hedef alan bir hack kampanyasını ortaya çıkardı fazla bilgi
1875962308591255944,554487158,2025-01-05 17:47:22+00:00,ben balıkesir edremitte gördüm artık ufo muydu değil miydi bilmiyorum fakat dünya işi bir teknoloji değildi sene olması lazım bir kaç yakınıma anlattım konu kapandı zaten sadece gördüm fotoğraf var elimde başka bir kanıt gördüğümü adım biliyorum
1875962286017552672,586332745,2025-01-05 17:47:17+00:00,ülkemizin teknoloji alanında geldiği ileri düzeye in oluşturduğu ekosistem platformun katkısı büyük onunla yeni bir teknoloji nesli geliyor fikirlerprojeler artık milyonlarla ifade ediliyor yolunuz açık olsun teknoloji tutkunu sevgili gençler
1875962022724243553,1801942951897018368,2025-01-05 17:46:14+00:00,kadar veriyi inceleyecek teknoloji kuruyorlar merak ediyorum evet dinlenilmesine değil analizine taktım gerçekten insanlık çıldırmış
1875961885096559002,621863779,2025-01-05 17:45:41+00:00,nüfus artmış olduğu içinbununla beraber okulhastanepostaneveterine vb kurumların artmış olması nedeniyle olabilir mi haa sen okulahastaneye görderme çocuğunu teknoloji hallet işlerini işe yararsa bizlerde öyle yaparız
1875961672055337011,1530430474304245762,2025-01-05 17:44:50+00:00,dünya değişti mevsimler değişti teknoloji değiştiyıllar değişti sayılı kanunu değişmedi
1875961651062825438,1530430474304245762,2025-01-05 17:44:45+00:00,dünya değişti mevsimler değişti teknoloji değiştiyıllar değişti sayılı kanunu değişmedi
1875961513728729249,1872196271340916736,2025-01-05 17:44:13+00:00,bilinlendirilebilmek telenmek oyabilme ykek teknoloji arena nala mee epez kemikli i treme ancılık kentlemek
1875960704911474713,1830493511331774464,2025-01-05 17:41:00+00:00,röportaj astor şarj i̇stasyonuna ulaştı şarj ağı hedefleri neler astor şarj istasyonunu açarak türkiyedeki elektrikli araç şarj ağını genişletiyor şirketin hedefle
1875960679817261067,1491847859213373447,2025-01-05 17:40:54+00:00,teknoloji duruyor üstad
1875960254997180724,1113778026330972160,2025-01-05 17:39:13+00:00,pazar oldu teknoloji raporu yayınlayacak bekliyoruz kız arkadaşının ağzına parmak atıyor herif yakışmadı
1875960125246108103,841999864288444418,2025-01-05 17:38:42+00:00,teknoloji yarışmaları başvurular başladı son başvuru şubat detaylı bilgi
1875959922720186517,2271763025,2025-01-05 17:37:53+00:00,genç kardeşim güzel fikirlerin özgün projelerinle gel teknoloji yarışmaları başvurular başladı son başvuru şubat detaylı bilgi
1875959850775298355,385004498,2025-01-05 17:37:36+00:00,dünya değişti mevsimler değişti teknoloji değiştiyıllar değişti sayılı kanunu değişmedi sayın devlet büyüklerimiz çağa uygun kanun istiyoruz mesleki güvence istiyoruz
1875959680771772452,1684150955745452032,2025-01-05 17:36:56+00:00,teknofest teknoloji yarışmaları başvuruları başladı
1875959653642703251,1849507791100100608,2025-01-05 17:36:49+00:00,commodore gerçek fullhd hdmi stereo ses desteği sunan yeni kart duyuruldu
1875959594117169568,1865550154436079616,2025-01-05 17:36:35+00:00,astrolojik olayları değişim dönüşüm astrolojik olayları gökyüzünde gerçekleşecek önemli gezegen geçişleri döng
1875970824844575149,1657849840569667584,2025-01-05 18:21:13+00:00,ocakta bizim psikoloji iptal
1875970716161679511,1402394349011361795,2025-01-05 18:20:47+00:00,kral benim psikoloji baya bozulmuş protestoyu protestan okudum sabahtan beri protestanlar alaka diyorum
1875970704874917985,782297574,2025-01-05 18:20:44+00:00,ali koç gidene kadar kimse gelmesin hainlik yapmasın başkanı sezon başı kongre seçti ligin ilk yarısı maç esnasında takımı psikoloji olarak aşağı çekecek yavsaklar stada gelmesin bir dersi olan maç sonu çıksın dışarda bagirsin
1875970579062304903,1720043410805919744,2025-01-05 18:20:14+00:00,hayatın püf noktaları motivasyon kaynakları eğitim tavsiyeleri psikoloji üzerine değerli bilgiler sunuluyor başarı
1875970418827473407,91890286,2025-01-05 18:19:36+00:00,bitk denilen bjk yönetimler altında oynasın şampiyonluğu sonuna kadar kovalar onlara enteresan yerlerde enteresan kararlar çıktıen yakın gs maçı sanchez atılsa vurup dönseler lyon sonrası gs galibiyeti düşmezlerdi kadarfutbolpsikoloji yoksa beyi ayağa hükmetmez
1875970274262397301,1310241680247926787,2025-01-05 18:19:01+00:00,yarin psikoloji sinavimjz var odada herkes duygularindan bahsediyor dncjrjvnkdjf
1875969718835937294,1673822429032902659,2025-01-05 18:16:49+00:00,watchliste aldım psikoloji bozan turden
1875969689693921316,2617905622,2025-01-05 18:16:42+00:00,fenerbahçe hatayspor hatayspor kendi beceriksizliği yüzünden golleri yedi yanlış anlaşılmasın fb nin başarısı yok göllerde talisca üzülüyorum acıyorum gelirse oyuncuda ruh mental psikoloji kalmaz puhahaha
1875969264651497586,1832167837734957056,2025-01-05 18:15:01+00:00,mutlu türküm diyene
1875968762274517146,1568489042819387392,2025-01-05 18:13:01+00:00,ulan futbolcular taraftar bitmiş psikoloji yerlerde sen konuşuyorsun pişkin adamsın yahuymişali k i̇stifa etmeden düzelmez gidişatlig psikolojik olarak bitti bitttttii bunu kafana sok
1875968545747865710,1342420556562509826,2025-01-05 18:12:09+00:00,profesyonel psikoloji egitimi almis olarak soyleyebilirim an kafama sikabilirim
1875968152447938640,3220665749,2025-01-05 18:10:36+00:00,tribünlerde psikoloji olduğu sürece kadıköyde maç zor olacak tribünün psikolojisi sahaya sirayet ediyor futbolcu korkuyor kulağı tribünde kadıköy artık deplasman sayılır
1875967969542725925,1469650692428251142,2025-01-05 18:09:52+00:00,ben futbolcu olsam bende oynayamampsikoloji böyledirdüşünsenize karşınızda öyle bir rakip var skandal kararlarla eninde sonunda yıldır şampiyon yapılıyorsizin emek çöpsiz olsanız kendinizi yırtarmısınızben yırtmamgeçen sene fb puan aldı yine rakip önüne geçirildi
1875967469745283515,1824557297886003201,2025-01-05 18:07:53+00:00,hatta şunu diyeyim fb psikolojik eşiği kaybedene kadar puan kaybettirmezler zaman pskilojik olarak pes eder zaman rakibi puan kaybeder jesusla devam etmişti rakibi kaybetmedi derbide psikoloji yetmedi geçen sene baktılar olmuyor sivas maçı fişi çektiler
1875967335129043307,1259502790919020545,2025-01-05 18:07:21+00:00,psikoloji baraj istiyor yüzden yeni bölümler açılmasını desteklemiyoruz
1875967301075554652,1147057039685935105,2025-01-05 18:07:13+00:00,adamlarda bunca sene sonunda artık psikoloji miskoloji kalmadı normal
1875967241231175781,225404076,2025-01-05 18:06:58+00:00,bide var yöntem belirli bir amaca ulaşmak izlenmesi gereken yol psikoloji hocamız ezberletmişti sağolsun
