,precision,recall,f1-score,support
0,0.639344262295082,0.6406570841889117,0.64,487.0
1,0.7623574144486692,0.7609108159392789,0.761633428300095,527.0
2,0.6059322033898306,0.5766129032258065,0.5909090909090909,496.0
3,0.7161290322580646,0.6713709677419355,0.6930280957336108,496.0
4,0.5453020134228188,0.6178707224334601,0.5793226381461676,526.0
5,0.5778985507246377,0.660455486542443,0.6164251207729469,483.0
6,0.6609071274298056,0.6784922394678492,0.6695842450765864,451.0
7,0.6484848484848484,0.622093023255814,0.6350148367952523,516.0
8,0.6422222222222222,0.5768463073852296,0.6077812828601472,501.0
9,0.5987261146496815,0.5696969696969697,0.5838509316770186,495.0
accuracy,0.6376054640417839,0.6376054640417839,0.6376054640417839,0.6376054640417839
macro avg,0.6397303789325661,0.6375006519877698,0.6377549670270914,4978.0
weighted avg,0.6399416033483049,0.6376054640417839,0.6379078920241255,4978.0
