,precision,recall,f1-score,support
0,0.6260162601626016,0.6324435318275154,0.6292134831460674,487.0
1,0.7620889748549323,0.7476280834914611,0.7547892720306514,527.0
2,0.6223776223776224,0.5383064516129032,0.5772972972972973,496.0
3,0.6878980891719745,0.6532258064516129,0.6701137538779731,496.0
4,0.5783365570599613,0.5684410646387833,0.573346116970278,526.0
5,0.581081081081081,0.6231884057971014,0.6013986013986014,483.0
6,0.6082474226804123,0.6541019955654102,0.6303418803418803,451.0
7,0.6265060240963856,0.6046511627906976,0.6153846153846154,516.0
8,0.5482142857142858,0.6127744510978044,0.5786993402450519,501.0
9,0.5498981670061099,0.5454545454545454,0.5476673427991886,495.0
accuracy,0.6181197267979108,0.6181197267979108,0.6181197267979108,0.6181197267979108
macro avg,0.6190664484205366,0.6180215498727835,0.6178251703491605,4978.0
weighted avg,0.6198687019737887,0.6181197267979108,0.6182841964158563,4978.0
